#,Company_Name,Aktenzeichen,Date_Incorporation,CMP_Status,Amtsgericht,Street,Postcode,City,Industry,WZ2008,Startup_Website,LinkedIn_URL,Crunchbase_URL,Northdata_URL,Comment,Founding_Team_Size
68,SetActive Media UG (haftungsbeschränkt),HRB 23837 KI,2021-12-22,A,Kiel,Kollsack 4 A,D-24306,Lebrade,Medien,62,https://preffect.de/,https://www.linkedin.com/company/preffect/,,,,0
69,Smart Textiles Hub GmbH,HRB 42299,2021-12-22,A,Dresden,Tieckstraße 10,D-01099,Dresden,Hardware,27,,,,,,0
70,SYPOX GmbH,HRB 271957,2021-12-22,A,München,Am Waldrand 3,D-85354,Freising,Energie,27,https://www.sypox.eu/,https://www.linkedin.com/company/sypox/,,,,0
71,Visiolumen Technologie GmbH,HRB 95897,2021-12-22,A,Düsseldorf,Prinzenallee 7,D-40549,Düsseldorf,Software,62,,,,,,0
72,Vitavegan GmbH,HRB 782552,2021-12-22,A,Stuttgart,Königstraße 27,D-70173,Stuttgart,Lebensmittel,10,,,,,,0
73,WD Visuals GmbH,HRB 95902,2021-12-22,A,Düsseldorf,Parkstraße 22,D-40477,Düsseldorf,Medien,62,http://widu.co/,https://www.linkedin.com/company/wid%C3%BA,,,,0
74,Workspacify UG (haftungsbeschränkt),HRB 236990 B,2021-12-22,A,Charlottenburg (Berlin),Neumannstraße 96,D-13189,Berlin,eCommerce,62,https://www.workspacify.com/,,,,,0
75,AlphaMatch GmbH,HRB 271913,2021-12-21,A,München,Birtlinger Zeile 6,D-80939,München,Bildung,62,https://alphamatch.de/,https://www.linkedin.com/company/alphamatch/,,,,0
76,Auf Augenhöhe UG (haftungsbeschränkt),HRB 236916 B,2021-12-21,A,Charlottenburg (Berlin),Stresemannstraße 23,D-10963,Berlin,eCommerce,14,https://www.aufaugenhoehe.design/,,,,,0
77,dmg movement GmbH,HRB 16213,2021-12-21,A,Kempten,Grübels 12,D-88138,Weißensberg,Mobilität,27,http://www.dmg-movement.de/,,,,,0
78,elevate Solutions GmbH,HRB 54301,2021-12-21,A,Offenbach am Main,Marienstraße 34 i,D-63069,Offenbach am Main,Hardware,27,http://elevate-solutions.de/,,,,,0
79,Future Frames UG (haftungsbeschränkt),HRB 102851,2021-12-21,A,Darmstadt,Donnersbergring 84,D-64295,Darmstadt,Hardware,27,https://nftframes.de/,https://www.linkedin.com/company/future-frames/,,,,0
