name_x;name_y;CoInvestments
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Skogsbaeck GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Speedinvest Ill EUVECA GmbH & Co KG;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Stevan Lutz Invest UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Tacito Il Holding AB;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Tiny Fund Il, a series of Tiny Supercomputer Investment Companies, LP;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Tiny Il, a series of Continental Tiny Supercomputer Investment Companies, LP;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Valar Fund VIII LP;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Wax Venture UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);another.vc GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);eNugget Ventures UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);ueGei Capital UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);wrapall UG (haftungsbeschrankt);1
AL 13 UG (haftungsbeschrankt);NTD Ventures UG (haftungsbeschrankt);1
AL 13 UG (haftungsbeschrankt);Nifty Ventures GmbH;1
AL 13 UG (haftungsbeschrankt);Schone Téchter GmbH;1
AL 13 UG (haftungsbeschrankt);Sebastian Priester;1
AL 13 UG (haftungsbeschrankt);sports03 GmbH;1
ALSP20 L.L.C.;10K Ventures OU;1
ALSP20 L.L.C.;24S.ar.l.;1
ALSP20 L.L.C.;AKVaganza Unternehmergesellschaft (haftungsbeschrankt);1
ALSP20 L.L.C.;Bruce Wallace;1
ALSP20 L.L.C.;Calm Storm 1 EuVECA GmbH & Co. KG;1
ALSP20 L.L.C.;Cristobal Conde;1
ALSP20 L.L.C.;Dr. Axel Wieandt;1
ALSP20 L.L.C.;ENTREPRENEUR FIRST (GLOBAL) L.P.;1
ALSP20 L.L.C.;Entrepreneur First Operations Limited;1
ALSP20 L.L.C.;Esprit Nominees Limited;1
ALSP20 L.L.C.;Fin VC Regatta I, LP;1
ALSP20 L.L.C.;Founders First Capital GmbH;1
ALSP20 L.L.C.;Fufu Ventures UG (haftungsbeschrankt);1
ALSP20 L.L.C.;Guillaume Cabane;1
ALSP20 L.L.C.;Laurin Hainy;1
ALSP20 L.L.C.;Luca Ascani;1
ALSP20 L.L.C.;MJJ Invest GmbH;1
ALSP20 L.L.C.;Mark Ransford;1
ALSP20 L.L.C.;New Wave SASU;1
ALSP20 L.L.C.;PCN Ventures UG (haftungsbeschrankt);1
