d.7_consult_GmbH;d.7_consult_GmbH;yes;;;
Dada_Ventures_UG_(haftungsbeschrankt);Dada_Ventures_UG_(haftungsbeschrankt);yes;;;
daloco_UG_(haftungsbeschrankt);daloco_UG_(haftungsbeschrankt);yes;;;
Dan_Kreibich_Ventures_UG_(haftungsbeschrankt);Dan_Kreibich_Ventures_UG_(haftungsbeschrankt);yes;;;
Darius_Gottert;Darius_Gottert;yes;;;
Dasr_Ventures_UG_(haftungsbeschränkt);Dasr_Ventures_UG_(haftungsbeschränkt);yes;;;
Dastore_FPCI;Dastore_FPCI;yes;;;
datavest_UG_(haftungsbeschrankt);datavest_UG_(haftungsbeschrankt);yes;;;
David_Antonio_Nothacker;David_Antonio_Nothacker;yes;;;
Dawid_Sokotowski;Dawid_Sokotowski;yes;;;
DDG_AG;DDG_AG;yes;;;
Deep_Impact_Investment_Holding_GmbH;Deep_Impact_Investment_Holding_GmbH;yes;;;
DeepGreen_Ventures_UG_(haftungsbeschrankt);DeepGreen_Ventures_UG_(haftungsbeschrankt);yes;;;
Delta_Force_AG;Delta_Force_AG;yes;;;
Dennis_Stern_Beteiligungs_UG_(haftungsbeschrankt);Dennis_Stern_Beteiligungs_UG_(haftungsbeschrankt);yes;;;
Detlef_Nowotzin;Detlef_Nowotzin;yes;;;
Deutsche_Post_Stiftung;Deutsche_Post_Stiftung;yes;;;
DG_Beteiligungs_GmbH;DG_Beteiligungs_GmbH;yes;;;
DG_Beteiligungs-GmbH;DG_Beteiligungs-GmbH;yes;;;
DG_Ventures_GmbH;DG_Ventures_GmbH;yes;;;
Dicki_GmbH;Dicki_GmbH;yes;;;
Digilist_Ventures_UG_(haftungsbeschrankt);Digilist_Ventures_UG_(haftungsbeschrankt);yes;;;
DIGITAL_HELIX_GmbH;DIGITAL_HELIX_GmbH;yes;;;
Dirk_Kummerle;Dirk_Kummerle;yes;;;
Dirk_Weinitschke;Dirk_Weinitschke;yes;;;
Discovery_Ventures_Founder_Investments_II_GmbH_&_Co._KG;Discovery_Ventures_Founder_Investments_II_GmbH_&_Co._KG;yes;;;
Discovery_Ventures_Fund_Il_GmbH_&_Co._KG;Discovery_Ventures_Fund_Il_GmbH_&_Co._KG;yes;;;
Discovery_Ventures_II]_GmbH_&_Co._KG;Discovery_Ventures_II]_GmbH_&_Co._KG;yes;;;
Discovery_Ventures_III_GmbH_&_Co._KG;Discovery_Ventures_III_GmbH_&_Co._KG;yes;;;
DK87_Ventures_UG_(haftungsbeschrankt);DK87_Ventures_UG_(haftungsbeschrankt);yes;;;
DKCI_UG_(haftungsbeschrankt);DKCI_UG_(haftungsbeschrankt);yes;;;
DM_Invest_UG_(haftungsbeschrankt);DM_Invest_UG_(haftungsbeschrankt);yes;;;
DMI_GmbH;DMI_GmbH;yes;;;
DN_Capital_-_Global_Venture_Capital_V_SCSp;DN_Capital_-_Global_Venture_Capital_V_SCSp;yes;;;
Dobby_hives_aaaialall;Dobby_hives_aaaialall;yes;;;
Dominik_Clemens_Kleine;Dominik_Clemens_Kleine;yes;;;
Doral_Energy_-_Tech_Ventures_Limited_Partnership;Doral_Energy_-_Tech_Ventures_Limited_Partnership;yes;;;
Doublethink_Ventures_UG_(haftungsbeschrankt);Doublethink_Ventures_UG_(haftungsbeschrankt);yes;;;
Dr._Alfred_Heinrich_Georg_Spieker;Dr._Alfred_Heinrich_Georg_Spieker;yes;;;
Dr._Arthur_Steinmetz;Dr._Arthur_Steinmetz;yes;;;
Dr._Axel_Wieandt;Dr._Axel_Wieandt;yes;;;
Dr._Birte_Rothkopf;Dr._Birte_Rothkopf;yes;;;
Dr._Carsten_Baumgartner;Dr._Carsten_Baumgartner;yes;;;
Dr._Christian_Glauer;Dr._Christian_Glauer;yes;;;
Dr._Christian_Scheidl;Dr._Christian_Scheidl;yes;;;
Dr._Cornelius_Walter;Dr._Cornelius_Walter;yes;;;
Dr._Daniel_Brüggemann;Dr._Daniel_Brüggemann;yes;;;
Dr._Dora_Zmuc;Dr._Dora_Zmuc;yes;;;
Dr._Gabriele_Laschinski;Dr._Gabriele_Laschinski;yes;;;
Dr._Georg_Doll;Dr._Georg_Doll;yes;;;
Dr._Georg_Friedrich_Matheis;Dr._Georg_Friedrich_Matheis;yes;;;
Dr._Jan_Kemper_GmbH;Dr._Jan_Kemper_GmbH;yes;;;
Dr._Johannes_Fleckenstein;Dr._Johannes_Fleckenstein;yes;;;
Dr._Jorg_Meyer_Beteiligungsverwaltung_GmbH;Dr._Jorg_Meyer_Beteiligungsverwaltung_GmbH;yes;;;
Dr._Jutta_Steiner;Dr._Jutta_Steiner;yes;;;
Dr._Kurch,_Markus;Dr._Kurch,_Markus;yes;;;
Dr._Markus_Nauheim;Dr._Markus_Nauheim;yes;;;
Dr._Martin_KOrneF;Dr._Martin_KOrneF;yes;;;
Dr._Matthias_Wei;Dr._Matthias_Wei;yes;;;
Dr._Reichs6llner;Dr._Reichs6llner;yes;;;
Dr._Sabri_Alamri;Dr._Sabri_Alamri;yes;;;
Dr._Sebastian_Seemann;Dr._Sebastian_Seemann;yes;;;
Dr._Stefan_Golkowsky;Dr._Stefan_Golkowsky;yes;;;
Dr._Susanne_Bettina_Maria_Weiss;Dr._Susanne_Bettina_Maria_Weiss;yes;;;
Dr._Teresa_Aurelia_Krabbe;Dr._Teresa_Aurelia_Krabbe;yes;;;
Dr._Tim_Jens_Christian_Odendahl;Dr._Tim_Jens_Christian_Odendahl;yes;;;
Dr._Tim_Kunze;Dr._Tim_Kunze;yes;;;
Dr._Tobias_Roelen-Blasberg;Dr._Tobias_Roelen-Blasberg;yes;;;
Dr.Ing._Ludger_Laufenberg;Dr.Ing._Ludger_Laufenberg;yes;;;
drei1415_ventures_UG_(haftungsbeschrankt);drei1415_ventures_UG_(haftungsbeschrankt);yes;;;
dreifff_Management_GmbH;dreifff_Management_GmbH;yes;;;
Dreyer,_Dominik;Dreyer,_Dominik;yes;;;
Druniverse_GmbH_AG_Düsseldorf;Druniverse_GmbH_AG_Düsseldorf;yes;;;
DSH_Ventures_GmbH;DSH_Ventures_GmbH;yes;;;
DSR_Ventures_GmbH;DSR_Ventures_GmbH;yes;;;
DT_Trust_GmbH;DT_Trust_GmbH;yes;;;
DTM_Deutsche_Tele_Medien_GmbH;DTM_Deutsche_Tele_Medien_GmbH;yes;;;
Ducky_Investments_UG_(haftungsbeschränkt);Ducky_Investments_UG_(haftungsbeschränkt);yes;;;
Dunstkreis_Ventures_UG;Dunstkreis_Ventures_UG;yes;;;
DV_Verwaltung_UG_(haftungsbeschrankt);DV_Verwaltung_UG_(haftungsbeschrankt);yes;;;
DVS_Holding_GmbH;DVS_Holding_GmbH;yes;;;
DWD_Holding_GmbH;DWD_Holding_GmbH;yes;;;
eastWest_Venture_Capital_GmbH;eastWest_Venture_Capital_GmbH;yes;;;
Educapital_II_FPCI;Educapital_II_FPCI;yes;;;
Einhorn_Capital_GmbH;Einhorn_Capital_GmbH;yes;;;
