startup_location;count;mapped_location
Möhrendorf;1;other
Deckenpfronn;1;Stuttgart
63571 Gelnhauesn;1;other
Weidenstetten;1;Stuttgart
Eltville am Rhein;1;Frankfurt
Oppenheim;1;Frankfurt
Anzing;1;Munich
Apfeldorf;1;Munich
Kapfelberg;1;other
Winterberg;1;other
Utting am Ammersee;1;Munich
Thurnau;1;other
Kirchheim;1;other
Halstenbek;1;Hamburg
Wörnitz;1;other
Osann-Monzel;1;other
Molzahn;1;Hamburg
Weingarten Baden;1;Stuttgart
Gifhorn;1;other
Pleiskirchen;1;Munich
Nesselwang;1;other
Vechta-Spreda;1;other
Boksee;1;Hamburg
Aspach;1;other
Seligenstadt;1;Frankfurt
Epfendorf;1;Stuttgart
Schwaigern, OT Massenbach;1;other
Bad König;1;Frankfurt
Bischofswiesen;1;other
Vaihingen an der Enz;1;Stuttgart
Großschirma;1;Leipzig
Niederfell;1;other
Dornhan;1;Stuttgart
Lennestadt;1;Cologne
Asbach;1;Cologne
Sailauf;1;Frankfurt
Bad Doberan;1;other
Zeven;1;Hamburg
Versmold;1;other
Löhne;1;other
Korb;1;Stuttgart
Borchen;1;other
Bad Waldsee;1;other
Karlsfeld;1;Munich
Freilassing;1;other
Kreuztal;1;Cologne
Wiesbaum;1;Cologne
Friedrichsthal;1;other
Wildeshausen;1;other
Hanstedt;1;Hamburg
Umkirch;1;other
Hardthausen am Kocher;1;Stuttgart
Mering;1;Munich
Oppenweiler;1;Stuttgart
Falkenberg/Elster;1;Leipzig
Dienheim;1;Frankfurt
Berchtesgaden;1;other
Spelle;1;other
Burg;1;other
Kell am See;1;other
Raguhn-Jeßnitz OT Raguhn;1;other
St. Georgen im Schwarzwald;1;other
Elmshorn;1;Hamburg
Michendorf;1;Berlin
Rottweil;1;Stuttgart
Mainz-Kostheim;1;Frankfurt
Bad Bramstedt;1;Hamburg
Wardenburg;1;other
Ayl;1;other
Trautskirchen;1;other
Grimma OT Großbardau;1;other
Hagen a.T.W;1;other
Hainewalde;1;other
Chieming;1;Munich
Ramsau b.Berchtesgaden;1;other
Flacht;1;Frankfurt
Schweitenkirchen;1;Munich
Lingen;1;other
Sulzberg;1;other
Fürstenau;1;other
Jagstzell;1;Stuttgart
Kösching;1;Munich
Wollbach;1;other
Obertshausen;1;Frankfurt
Allershausen;1;Munich
Weil;1;Munich
Zetel;1;other
Sonthofen;1;other
Nienstädt;1;other
Oberstaufen;1;other
Renningen;1;Stuttgart
Trebur-Astheim;1;Frankfurt
Grefrath;1;Cologne
Reute;1;other
Stockstadt am Rhein;1;Frankfurt
Harrislee;1;other
Rüdersdorf bei Berlin OT Herzfelde;1;other
Schäftlarn;1;Munich
Haßloch;1;Mannheim
Berkheim;1;other
Burtenbach;1;other
Esens;1;other
Rümmingen;1;other
Wiesentheid;1;other
Kaarst;1;Cologne
Meppen;1;other
Furth;1;Munich
Langballig;1;other
Grosselfingen;1;Stuttgart
Biblis-Wattenheim;1;Frankfurt
Markgröningen;1;Stuttgart
Bad Münder;1;other
Hallbergmoos;1;Munich
Olfen;1;other
Beelitz;1;Berlin
Sigmarszell;1;other
Werlte;1;other
Börnsen;1;Hamburg
Lohra;1;Frankfurt
Eppelsheim;1;Frankfurt
Großaitingen;1;Munich
Wilhelmsdorf;1;other
Dummerstorf OT Beselin;1;other
Berg b.Neumarkt i.d.OPf;1;other
Kressbronn am Bodensee;1;other
Föhren;1;other
Eichwalde;1;Berlin
Bammental;1;Stuttgart
Ehringshausen;1;Frankfurt
Visbek;1;other
Kürten;1;Cologne
Weißenbrunn;1;other
Kabelsketal;1;Leipzig
Gladenbach;1;Frankfurt
Hirzenhain (Wetteraukreis;1;Frankfurt
Andechs;1;Munich
Bad Wünnenberg;1;other
Heldenstein;1;Munich
Hirschberg;1;other
Egestorf (Nordheide);1;Hamburg
Adelshofen;1;other
Lauf a.d. Pegnitz;1;other
Tuttlingen;1;other
Gößnitz;1;Leipzig
Sprockhövel;1;Cologne
Hockenheim;1;Stuttgart
Taucha;1;Leipzig
Handrup;1;other
Stadtsteinach;1;other
Mühlenbecker Land OT Schönfließ;1;other
Oberammergau;1;Munich
Parkstein;1;other
Marzling;1;Munich
Irsch;1;other
Burgthann;1;other
Mogendorf;1;Cologne
Riedenheim;1;other
Geldern;1;other
Stetten am kalten Markt;1;Stuttgart
Weil im Schönbuch;1;Stuttgart
Forchheim;1;other
Algermissen;1;other
Bretten;1;other
Miesbach;1;Munich
Zella-Mehlis;1;other
Kandern;1;other
Brieselang;1;Berlin
Meinerzhagen;1;Cologne
Stammham;1;other
Bad Fallingbostel;1;Hamburg
Dunningen;1;other
Bissendorf;1;other
Schwielowsee;1;Berlin
Schmitten;1;Frankfurt
Seevetal;1;Hamburg
Waldbüttelbrunn;1;other
Babenhausen;1;Frankfurt
Twistetal;1;other
Höxter;1;other
Heidenheim an der Brenz;1;Stuttgart
Linz;1;other
Holdorf;1;other
Ruhmannsfelden;1;other
Seelingstädt;1;Leipzig
Hilders;1;other
Schäftlarn-Hohenschäftlarn;1;Munich
Altenberg;1;other
Oberstdorf;1;other
Moosinning;1;Munich
Zinna;1;other
Hohwacht;1;other
Tittling;1;other
Gütenbach;1;other
Dörth;1;Frankfurt
Westerstede;1;other
Nußloch;1;Stuttgart
Saaldorf-Surheim;1;other
Everswinkel;1;other
Hahnbach;1;other
Rieden;1;Cologne
Leimen;1;Stuttgart
Planegg/OT Martinsried;1;other
Gieleroth;1;Cologne
Inden;1;Cologne
Attendorn;1;Cologne
Nonnenhorn;1;other
Vaterstetten-Weißenfeld;1;Munich
Gernsheim;1;Frankfurt
Ernsgaden;1;Munich
Erbach;1;Stuttgart
Friesenheim;1;other
Rotenburg;1;Hamburg
Völklingen;1;other
Haslach im Kinzigtal;1;other
Seefeld;1;other
Geltendorf;1;Munich
Stendal;1;other
Dummerstorf OT Kavelstorf;1;other
Seeheim-Jugenheim;1;Frankfurt
Sandersdorf-Brehna;1;Leipzig
Königsbrunn;1;Munich
Ahaus;1;other
Garching bei München;1;Munich
Uhldingen-Mühlhofen;1;other
Hattingen;1;other
Oberhaching-Furth;1;Munich
Mittenwalde;1;Berlin
Weil am Rhein;1;other
Freudenstadt;1;Stuttgart
Heek;1;other
Lehre;1;other
Peiting;1;Munich
Viersen;1;Cologne
Bisingen;1;Stuttgart
Runding;1;other
Oederquart;1;Hamburg
Valley-Oberlaindern;1;Munich
Nebelschütz;1;other
Bad Nenndorf;1;other
Wäschenbeuren;1;Stuttgart
Puchheim;1;Munich
Amtsberg OT Wilischthal;1;other
Ilshofen;1;Stuttgart
Löwenberger Land;1;Berlin
Pleckhausen;1;Cologne
Baiern-Antholing;1;Munich
Deggenhausertal;1;other
Neckartenzlingen;1;Stuttgart
Timmendorfer Strand;1;Hamburg
Borstel-Hohenraden;1;Hamburg
Baar-Ebenhausen;1;Munich
Lalling;1;other
Trossingen;1;other
Greven;1;other
Hodenhagen;1;other
Donaueschingen;1;other
Wiehl;1;Cologne
Sittensen;1;Hamburg
Kröv;1;other
Hessisch Oldendorf;1;other
Zeuthen;1;Berlin
Warstein;1;other
Königshain-Wiederau OT Königshain;1;other
Dießen am Ammersee;1;Munich
Reinfeld;1;Hamburg
Dußlingen;1;Stuttgart
Quedlinburg;1;other
Rosenfeld;1;other
Petersaurach;1;other
Wittlich-Wengerohr;1;other
Eschelbronn;1;Stuttgart
Aiterhofen;1;other
Erwitte;1;other
Edewecht;1;other
Sprendlingen;1;Frankfurt
Wendelsheim;1;Frankfurt
Teunz;1;other
Zimmern ob Rottweil;1;other
Weißensberg;1;other
Alling;1;Munich
Thum OT Jahnsbach;1;other
Lauf a.d.Pegnitz;1;other
Schlitz;1;other
Badenweiler;1;other
Weihenzell;1;other
Rheinbach;1;Cologne
Mandelbachtal;1;other
Vierkirchen;1;other
Oer-Erkenschwick;1;other
Buttenheim;1;other
Dornstadt;1;Stuttgart
Wald;1;other
Treuchtlingen;1;other
Siblin;1;other
Schömberg;1;Stuttgart
Scheyern;1;Munich
Ortenberg;1;Frankfurt
Schwindegg;1;Munich
Waakirchen;1;Munich
Weilheim i.OB;1;Munich
Landesbergen;1;other
Pluwig;1;other
Meersburg;1;other
Biedenkopf;1;other
Thalheim/Erzgeb;1;Leipzig
Alsdorf;1;other
Stockdorf;1;Munich
Enger;1;other
Wurster Nordseeküste;1;other
Holm;1;other
Ahnatal;1;other
Zolling;1;Munich
Wölfersheim;1;Frankfurt
Baunach;1;other
